Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
SYF,"Synchrony Financial",34.18,0.92,+2.77%,33.6,34.26,33.53,1226211,"12:51 ET"
SYK,"Stryker Corp",238.49,3.2,+1.36%,236.78,238.96,236.48,175634,"12:50 ET"
SYNH,"Syneos Health Inc",69.76,-0.099999999999994,-0.14%,70.47,70.97,69.29,179644,"12:49 ET"
SYY,"Sysco Corp",72.87,0.95,+1.32%,72.66,73.43,72.4,620403,"12:51 ET"
T,"AT&T Inc",28.73,0.33,+1.16%,28.5,28.88,28.42,17573916,"12:52 ET"
TAP,"Molson Coors Brewing Company",45.23,0.81,+1.82%,44.69,45.4,44.59,376138,"12:50 ET"
TCF,"TCF Financial Corp",36.36,0.76,+2.13%,35.61,36.5,35.61,1164972,"12:52 ET"
TCO,"Taubman Centers",42.94,-0.060000000000002,-0.14%,42.97,42.98,42.93,344499,"12:48 ET"
TDC,"Teradata Corp",22.76,0.12,+0.53%,22.84,23.11,22.74,192108,"12:50 ET"
TDG,"Transdigm Group Inc",610.85,14.62,+2.45%,598.8,617.08,598.8,42853,"12:50 ET"
TDOC,"Teladoc Health Inc",210,3.96,+1.92%,206.55,211.68,203.56,1598560,"12:51 ET"
TDS,"Telephone and Data Systems",18,0.2,+1.12%,17.95,18.09,17.79,357250,"12:52 ET"
TDY,"Teledyne Technologies Inc",387.82,8.99,+2.37%,381.43,387.82,379.96,31852,"12:50 ET"
TEAM,"Atlassian Cls A Ord",241.75,-5.26,-2.13%,247,247.96,239.02,700450,"12:51 ET"
TECH,"Bio-Techne Cp",321.7,0.77999999999997,+0.24%,322.95,323.95,318.08,57113,"12:37 ET"
TER,"Teradyne Inc",118.54,-0.029999999999987,-0.03%,119.07,119.29,117.21,315388,"12:52 ET"
TFC,"Truist Financial Corp",47.36,1.33,+2.89%,46.6,47.42,46.26,2285133,"12:52 ET"
TFSL,"Tfs Financial Corp",17.6,0.33,+1.91%,17.3,17.61,17.3,39950,"12:48 ET"
TFX,"Teleflex Inc",399.77,2.93,+0.74%,399.66,402.5,397.52,29948,"12:51 ET"
TGT,"Target Corp",175.98,3.63,+2.11%,172.01,176.33,171.88,2324909,"12:52 ET"
THG,"The Hanover Insurance Group",116.07,0.98999999999999,+0.86%,116.02,116.89,115.54,44766,"12:39 ET"
THO,"Thor Industries",101.82,0.34999999999999,+0.34%,102.08,103.63,99.5,313098,"12:51 ET"
THS,"Treehouse Foods",42.39,0.6,+1.44%,41.83,42.47,41.25,133631,"12:52 ET"
TIF,"Tiffany & Company",131.16,0.0099999999999909,+0.01%,131.22,131.22,131.13,412061,"12:51 ET"
TJX,"TJX Companies",67.52,0.55,+0.82%,67.42,68.08,67.38,1151836,"12:52 ET"
TKR,"Timken Company",77.03,0.62,+0.81%,76.7,77.13,76.21,99480,"12:50 ET"
TMO,"Thermo Fisher Scientific Inc",463.19,-2.01,-0.43%,467.83,469.19,460.46,383836,"12:48 ET"
TMUS,"T-Mobile US",132.43,0.18000000000001,+0.14%,132.25,132.55,130.95,736328,"12:52 ET"
TMX,"Terminix Global Hldgs Inc",51.65,0.32,+0.62%,51.4,51.76,51.15,105976,"12:43 ET"
TNDM,"Tandem Diabetes Care",92.81,0.62,+0.67%,91.82,93.5,91.22,287764,"12:49 ET"
TOL,"Toll Brothers Inc",45.27,-0.84999999999999,-1.84%,46.4,46.56,44.78,648987,"12:51 ET"
TPR,"Tapestry Inc",30.27,0.099999999999998,+0.33%,30.45,30.61,29.93,2530445,"12:51 ET"
TPX,"Tempur-Pedic International Inc",27.72,-0.060000000000002,-0.22%,28,28.19,27.72,478320,"12:52 ET"
TREE,"Lendingtree Inc",279.01,3.48,+1.26%,276.69,282.51,276.21,90104,"12:51 ET"
TREX,"Trex Company",86.01,-0.019999999999996,-0.02%,86.31,86.75,85.12,163713,"12:51 ET"
TRGP,"Targa Resources",26.87,0.21,+0.79%,26.97,27.38,26.79,651088,"12:52 ET"
TRIP,"Tripadvisor Inc",26.36,0.48,+1.85%,25.86,26.51,25.59,561413,"12:52 ET"
TRMB,"Trimble Navigation",66.71,0.52999999999999,+0.80%,66.46,67.12,66.03,142015,"12:51 ET"
TRN,"Trinity Industries",26.55,0.050000000000001,+0.19%,26.65,26.87,26.36,241377,"12:48 ET"
TROW,"T Rowe Price Group",149.01,1.59,+1.08%,148.96,149.3,147.88,213943,"12:52 ET"
TRU,Transunion,100.59,1.81,+1.83%,99.59,100.83,99.41,273480,"12:50 ET"
TRV,"The Travelers Companies Inc",137.35,0.87,+0.64%,137.29,138.55,136.91,283282,"12:50 ET"
TSCO,"Tractor Supply Company",146.6,-3.17,-2.12%,149.8,150.33,146.565,283458,"12:51 ET"
TSLA,"Tesla Inc",645.31,4.9699999999999,+0.78%,632.2,651.5,622.57,21472369,"12:52 ET"
TSN,"Tyson Foods",63.59,1.11,+1.78%,62.97,63.71,62.83,687437,"12:51 ET"
TT,"Trane Technologies Plc",143.3,0.30000000000001,+0.21%,142.96,144.15,142.09,247715,"12:48 ET"
TTC,"Toro Company",93.72,-0.51000000000001,-0.54%,94.43,94.72,93.19,81321,"12:50 ET"
TTD,"Trade Desk Inc",938.4,-32.72,-3.37%,969,976,938.11,314656,"12:50 ET"
TTWO,"Take-Two Interacti",202.77,0.91,+0.45%,202.8,203.35,199.93,308809,"12:52 ET"
TW,"Tradeweb Markets Inc",65.22,-0.19,-0.29%,65.82,66.35,65.22,259663,"12:47 ET"
TWLO,Twilio,366.76,-3.99,-1.08%,371,373.5,358.09,722652,"12:49 ET"
TWOU,"2U Inc",43.59,1.81,+4.33%,41.99,43.69,41.3,501260,"12:51 ET"
TWTR,"Twitter Inc",54.42,-0.48999999999999,-0.89%,55.34,55.45,54.23,2944285,"12:52 ET"
TXG,"10X Genomics Inc",149.26,-0.38,-0.25%,150.63,150.67,147.88,587986,"12:51 ET"
TXN,"Texas Instruments",162.48,-0.04000000000002,-0.02%,162.2,163.23,162.01,576210,"12:51 ET"
TXT,"Textron Inc",48.45,1.63,+3.48%,47.17,48.58,47.17,250801,"12:51 ET"
TYL,"Tyler Technologies",438.67,0.15000000000003,+0.03%,440.72,440.79,432.3,48805,"12:49 ET"
UA,"Under Armour Inc Cl C",14.88,0.2,+1.36%,14.69,15,14.6,2176526,"12:51 ET"
UAA,"Under Armour",17.19,0.31,+1.84%,16.87,17.31,16.67,2264485,"12:51 ET"
UAL,"United Airlines Holdings Inc",44.17,1.2,+2.79%,43.1,44.68,42.06,10342306,"12:52 ET"
UBER,"Uber Technologies Inc",53.55,-0.23,-0.43%,53.8,54.18,52.99,6296281,"12:52 ET"
UDR,"United Dominion Realty Trust",37.48,0.11,+0.29%,37.6,37.95,37.43,521507,"12:51 ET"
UGI,"Ugi Corp",34.86,0.36,+1.04%,34.62,35.25,34.62,182284,"12:48 ET"
UHAL,"A M E R C O",449.08,-3.94,-0.87%,453.31,457.61,447.18,6834,"12:51 ET"
UHS,"Universal Health Services",137.16,1.36,+1.00%,137,138.17,136.63,54404,"12:51 ET"
UI,"Ubiquiti Networks",274,-7.31,-2.60%,280.11,280.86,272.85,27915,"12:47 ET"
ULTA,"Ulta Beauty Inc",270.25,5.16,+1.95%,267.75,272.44,267.4,246414,"12:52 ET"
UMPQ,"Umpqua Holdings Corp",15.06,0.42,+2.87%,14.67,15.12,14.67,371915,"12:51 ET"
UNH,"Unitedhealth Group Inc",340.62,5.61,+1.67%,336.49,341.63,335,800613,"12:52 ET"
UNM,"Unumprovident Corp",21.98,0.66,+3.10%,21.59,22.13,21.58,534099,"12:51 ET"
UNP,"Union Pacific Corp",202.07,0.54999999999998,+0.27%,202.83,203.51,201.52,782761,"12:52 ET"
UNVR,"Univar Inc",18.66,0.38,+2.08%,18.45,18.72,18.38,220163,"12:49 ET"
UPS,"United Parcel Service",173.85,-0.71000000000001,-0.41%,174.38,175.94,173.25,944566,"12:51 ET"
URI,"United Rentals",230.39,3,+1.32%,229.86,231.49,227.39,226823,"12:51 ET"
USB,"U.S. Bancorp",46.9,1.31,+2.87%,45.96,46.9,45.72,1803408,"12:52 ET"
USFD,"US Foods Holding",33.42,0.58,+1.77%,33.13,33.76,32.87,666407,"12:51 ET"
USM,"United States Cellular Corp",29.47,0.54,+1.87%,29.05,29.47,28.9,31860,"12:51 ET"
UTHR,"United Therapeutic",147.02,0.67000000000002,+0.46%,146.47,147.82,145.46,70637,"12:51 ET"
V,"Visa Inc",206.39,0.54999999999998,+0.27%,207.33,207.5,205.11,2317468,"12:52 ET"
VAR,"Varian Medical Systems",174.72,0.19999999999999,+0.11%,174.6,174.8,174.55,88253,"12:52 ET"
VEEV,"Veeva Systems Inc",288.24,1.8,+0.63%,290,292.29,286.13,479726,"12:52 ET"
VER,"Vereit Inc",37.4,0.38,+1.03%,37.33,37.84,37.14,2167454,"12:52 ET"
VFC,"V.F. Corp",84,1.12,+1.35%,83.62,84.25,83.12,499457,"12:52 ET"
