Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
KMPR,"Kemper Corp",77.6,1.05,+1.37%,78.34,76.74,34557,"12:50 ET"
KMT,"Kennametal Inc",37.77,0.16,+0.43%,38.35,37.64,69335,"12:51 ET"
KNX,"Knight-Swift Transporation Inc",41.7,-0.68,-1.60%,42.49,41.64,434500,"12:52 ET"
KRC,"Kilroy Realty Corp",55.94,0.049999999999997,+0.09%,56.89,55.67,281090,"12:48 ET"
KSS,"Kohl's Corp",39.36,1.16,+3.04%,39.6,38.2,1711680,"12:52 ET"
LAD,"Lithia Motors",284.7,5.42,+1.94%,286.65,278.97,52469,"12:43 ET"
LAMR,"Lamar Advertis A",82.55,0.36999999999999,+0.45%,83.64,82.29,95198,"12:51 ET"
LANC,"Lancaster Colony Cor",172.06,2.34,+1.38%,172.21,169.53,26009,"12:51 ET"
LEA,"Lear Corp",161.93,3.1,+1.95%,162.81,159.86,167325,"12:53 ET"
LECO,"Lincoln Elec Hld",119.16,0.77,+0.65%,119.44,118.06,39061,"12:42 ET"
LFUS,"Littelfuse Inc",251.43,2.47,+0.99%,252.66,247.92,24884,"12:47 ET"
LGND,"Ligand Pharm",105.54,2.36,+2.29%,107.48,102.79,109846,"12:53 ET"
LHCG,"LHC Group Inc",222.55,5.19,+2.39%,223.65,217.57,73562,"12:48 ET"
LII,"Lennox International",271.17,-1.65,-0.60%,277.61,271.03,65424,"12:53 ET"
LITE,"Lumentum Hld",98.41,0.66,+0.68%,98.95,96.59,581493,"12:51 ET"
LIVN,"Livanova Plc OR Sh",68.67,-0.069999999999993,-0.10%,69.76,68.55,157693,"12:52 ET"
LOPE,"Grand Canyon Educati",95.22,2.03,+2.18%,95.28,93.36,69640,"12:52 ET"
LPX,"Louisiana-Pacific Corp",38.29,0.72,+1.92%,38.77,37.94,313021,"12:53 ET"
LSI,"Life Storage",119.35,0.079999999999998,+0.07%,120.87,119.07,91880,"12:48 ET"
LSTR,"Landstar System",135.19,-0.69999999999999,-0.52%,136.33,134.25,44354,"12:37 ET"
MAC,"Macerich Company",10.71,0.38,+3.68%,10.8,10.37,1399661,"12:52 ET"
MAN,"Manpower Inc",92.31,1.95,+2.16%,93.01,90.87,87790,"12:44 ET"
MANH,"Manhattan Assoc",106.73,0.5,+0.47%,107.67,106,57310,"12:49 ET"
MASI,"Masimo Corp",267.74,1.15,+0.43%,268.54,265.22,41676,"12:52 ET"
MAT,"Mattel Inc",17.56,0.029999999999998,+0.17%,17.69,17.44,985817,"12:51 ET"
MCY,"Mercury General Corp",51.54,0.12,+0.23%,51.99,51.29,61522,"12:49 ET"
